iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
13,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,2,0,-21.7068,-4.48192,10.5464,6.25,111.916
13,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,3,0,-1.70328,0.142203,1.25557,0.977985,14.1999
14,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,1,0,-32.595,-6.51321,9.43602,6.25,114.938
14,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,2,0,-32.595,-6.51321,9.43602,6.25,116.191
14,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,3,0,-2.97484,0.106898,1.11644,0.742943,13.315
15,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,1,0,1,1,2.4486e-31,-3.42115e-17,131.277
15,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,2,0,1,1,6.94294e-32,-1.46911e-17,122.953
15,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,3,0,-9.00534,0.990875,0.00797455,0.00795705,10.2059
16,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,1,0,0.99909,0.999964,4.23986e-05,4.058e-05,118.266
16,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,2,0,1,1,2.38432e-32,-3.49695e-16,114.696
16,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,3,0,-1.60183,0.89266,0.121218,0.120688,9.52933
17,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,1,0,0.962198,0.991173,0.013248,0.00870329,180.347
17,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,2,0,0.962112,0.99114,0.0132784,0.00873643,219.798
17,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,3,0,0.962793,0.991362,0.0130397,0.00851761,8.02361
18,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,1,0,-305.369,0.988411,303.034,0.0115959,169.18
18,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,2,0,-650.666,0.988312,644.572,0.0116947,160.962
18,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,3,0,0.00356753,0.407186,0.985585,0.593177,9.52431
19,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,1,0,0.956831,0.989915,0.026641,0.00974032,170.471
19,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,2,0,0.956983,0.989789,0.0265476,0.00986173,177.688
19,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,3,0,0.957006,0.989802,0.0265332,0.00984936,6.12827
20,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,1,0,0.960425,0.990698,0.0273733,0.0104523,171.852
20,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,2,0,0.96041,0.990471,0.0273835,0.0107066,167.402
20,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,3,0,0.96106,0.990559,0.0269337,0.0106083,7.05769
21,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,0,1,0,0.908114,0.989584,0.0752149,0.0102112,161.677
21,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,0,2,0,0.91503,0.990027,0.0695542,0.00977734,163.2
21,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,0,3,0,0.128425,0.291659,0.713446,0.694411,13.3059
22,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,1,1,0,0.953191,0.988666,0.0192416,0.0118442,143.281
22,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,1,2,0,0.953353,0.988996,0.0191747,0.0114995,146.597
22,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,1,3,0,0.84164,0.951053,0.065096,0.0511513,11.8147
23,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,0,1,0,0.953183,0.99013,0.0354235,0.0103624,159.548
23,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,0,2,0,0.949456,0.989983,0.0382437,0.0105165,155.072
23,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,0,3,0,0.886234,0.965,0.0860799,0.0367442,12.0218
24,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,1,1,0,0.935088,0.988239,0.0146429,0.0115219,157.939
24,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,1,2,0,0.932921,0.987906,0.0151317,0.011848,158.502
24,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,1,3,0,0.897523,0.980288,0.0231168,0.019311,8.31438
25,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,1,0,0.904223,0.989965,0.0926329,0.0112183,128.8
25,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,2,0,0.906602,0.990068,0.0903321,0.0111027,126.653
25,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,3,0,-0.115779,0.0530864,1.07915,1.05854,10.4304
26,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,1,0,0.958892,0.991827,0.0124437,0.00925645,121.848
26,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,2,0,-27.0747,-4.61508,8.49845,6.35924,130.307
26,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,3,0,-1.26842,0.420068,0.68667,0.656789,18.1568
27,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,1,0,0.692945,0.989978,0.010819,0.0105433,124.578
27,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,2,0,0.704044,0.990308,0.0104279,0.0101958,127.85
27,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,3,0,-0.302536,0.95695,0.0458943,0.0452885,10.4792
