iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,mse,timeMs
89,50,0.01,0.2,50,1,1000,10,5,0.3,0.3,1,1,0,2.74944,75.3886
90,50,0.01,0.2,50,1,1000,10,5,0.3,0.3,1,0,0,2.04561,67.0176
91,50,0.01,0.2,50,1,1000,10,5,0.3,0.3,10,1,0,62.5358,86.1415
92,50,0.01,0.2,50,1,1000,10,5,0.3,0.3,10,0,0,34.6102,81.972
93,50,0.01,0.2,50,1,1000,10,5,0.3,0.5,1,1,0,4.26485,82.9656
94,50,0.01,0.2,50,1,1000,10,5,0.3,0.5,1,0,0,2.07193,70.9812
95,50,0.01,0.2,50,1,1000,10,5,0.3,0.5,10,1,0,10.4535,102.917
96,50,0.01,0.2,50,1,1000,10,5,0.3,0.5,10,0,0,9.85573,111.257
97,50,0.01,0.2,50,1,1000,10,5,0.8,0,1,1,0,4.18205,106.269
98,50,0.01,0.2,50,1,1000,10,5,0.8,0,1,0,0,4.04499,103.956
99,50,0.01,0.2,50,1,1000,10,5,0.8,0,10,1,0,3.84647,86.8507
100,50,0.01,0.2,50,1,1000,10,5,0.8,0,10,0,0,4.32339,88.1783
101,50,0.01,0.2,50,1,1000,10,5,0.8,0.3,1,1,0,4.93424,93.2943
102,50,0.01,0.2,50,1,1000,10,5,0.8,0.3,1,0,0,4.84054,83.5453
103,50,0.01,0.2,50,1,1000,10,5,0.8,0.3,10,1,0,40.9326,104.441
104,50,0.01,0.2,50,1,1000,10,5,0.8,0.3,10,0,0,16.4202,102.788
105,50,0.01,0.2,50,1,1000,10,5,0.8,0.5,1,1,0,5.12567,95.7809
106,50,0.01,0.2,50,1,1000,10,5,0.8,0.5,1,0,0,4.38242,90.8158
107,50,0.01,0.2,50,1,1000,10,5,0.8,0.5,10,1,0,8.73242,117.902
108,50,0.01,0.2,50,1,1000,10,5,0.8,0.5,10,0,0,12.641,114.232
109,50,0.01,0.2,50,500,1000,3,2,0.01,0,1,1,0,0.000405106,7.38111
110,50,0.01,0.2,50,500,1000,3,2,0.01,0,1,0,0,0.000248858,8.07404
111,50,0.01,0.2,50,500,1000,3,2,0.01,0,10,1,0,0.000439958,5.69147
112,50,0.01,0.2,50,500,1000,3,2,0.01,0,10,0,0,0.000327793,5.17887
113,50,0.01,0.2,50,500,1000,3,2,0.01,0.3,1,1,0,0.299662,3.39694
114,50,0.01,0.2,50,500,1000,3,2,0.01,0.3,1,0,0,0.0992287,3.96791
115,50,0.01,0.2,50,500,1000,3,2,0.01,0.3,10,1,0,1.02408,3.48101
116,50,0.01,0.2,50,500,1000,3,2,0.01,0.3,10,0,0,10.302,3.43735
117,50,0.01,0.2,50,500,1000,3,2,0.01,0.5,1,1,0,0.425826,3.20151
118,50,0.01,0.2,50,500,1000,3,2,0.01,0.5,1,0,0,0.136,3.293
119,50,0.01,0.2,50,500,1000,3,2,0.01,0.5,10,1,0,1.23812,3.17808
120,50,0.01,0.2,50,500,1000,3,2,0.01,0.5,10,0,0,1.30524,3.11583
121,50,0.01,0.2,50,500,1000,3,2,0.3,0,1,1,0,0.111555,3.14005
122,50,0.01,0.2,50,500,1000,3,2,0.3,0,1,0,0,0.112573,3.08841
123,50,0.01,0.2,50,500,1000,3,2,0.3,0,10,1,0,0.0961309,3.73204
124,50,0.01,0.2,50,500,1000,3,2,0.3,0,10,0,0,0.097683,3.3435
125,50,0.01,0.2,50,500,1000,3,2,0.3,0.3,1,1,0,0.341276,3.06333
126,50,0.01,0.2,50,500,1000,3,2,0.3,0.3,1,0,0,0.228245,3.02695
127,50,0.01,0.2,50,500,1000,3,2,0.3,0.3,10,1,0,1.19465,3.31934
128,50,0.01,0.2,50,500,1000,3,2,0.3,0.3,10,0,0,2.22751,3.19846
129,50,0.01,0.2,50,500,1000,3,2,0.3,0.5,1,1,0,0.622863,3.1193
130,50,0.01,0.2,50,500,1000,3,2,0.3,0.5,1,0,0,0.31545,3.10924
131,50,0.01,0.2,50,500,1000,3,2,0.3,0.5,10,1,0,1.13468,3.50704
132,50,0.01,0.2,50,500,1000,3,2,0.3,0.5,10,0,0,0.979617,2.98562
133,50,0.01,0.2,50,500,1000,3,2,0.8,0,1,1,0,0.67893,3.25762
134,50,0.01,0.2,50,500,1000,3,2,0.8,0,1,0,0,0.691347,3.0442
135,50,0.01,0.2,50,500,1000,3,2,0.8,0,10,1,0,0.790763,3.08639
136,50,0.01,0.2,50,500,1000,3,2,0.8,0,10,0,0,0.739656,3.02475
137,50,0.01,0.2,50,500,1000,3,2,0.8,0.3,1,1,0,0.946871,3.22468
138,50,0.01,0.2,50,500,1000,3,2,0.8,0.3,1,0,0,0.918084,2.94989
139,50,0.01,0.2,50,500,1000,3,2,0.8,0.3,10,1,0,1.25492,3.50396
140,50,0.01,0.2,50,500,1000,3,2,0.8,0.3,10,0,0,1.2014,2.92196
141,50,0.01,0.2,50,500,1000,3,2,0.8,0.5,1,1,0,0.9888,3.1776
142,50,0.01,0.2,50,500,1000,3,2,0.8,0.5,1,0,0,1.06086,3.13083
143,50,0.01,0.2,50,500,1000,3,2,0.8,0.5,10,1,0,1.04296,3.16791
144,50,0.01,0.2,50,500,1000,3,2,0.8,0.5,10,0,0,1.072,2.74707
145,50,0.01,0.2,50,500,1000,10,2,0.01,0,1,1,0,0.0010771,8.37547
146,50,0.01,0.2,50,500,1000,10,2,0.01,0,1,0,0,0.0014235,9.3309
147,50,0.01,0.2,50,500,1000,10,2,0.01,0,10,1,0,0.0011199,9.76923
148,50,0.01,0.2,50,500,1000,10,2,0.01,0,10,0,0,0.00166938,8.5204
149,50,0.01,0.2,50,500,1000,10,2,0.01,0.3,1,1,0,2.42315,84.3165
150,50,0.01,0.2,50,500,1000,10,2,0.01,0.3,1,0,0,0.937279,38.3788
151,50,0.01,0.2,50,500,1000,10,2,0.01,0.3,10,1,0,177.253,91.7509
152,50,0.01,0.2,50,500,1000,10,2,0.01,0.3,10,0,0,69.6342,86.5185
153,50,0.01,0.2,50,500,1000,10,2,0.01,0.5,1,1,0,2.62914,94.965
154,50,0.01,0.2,50,500,1000,10,2,0.01,0.5,1,0,0,1.46945,70.4856
155,50,0.01,0.2,50,500,1000,10,2,0.01,0.5,10,1,0,173.966,172.124
156,50,0.01,0.2,50,500,1000,10,2,0.01,0.5,10,0,0,101.45,136.085
157,50,0.01,0.2,50,500,1000,10,2,0.3,0,1,1,0,1.47676,69.0988
158,50,0.01,0.2,50,500,1000,10,2,0.3,0,1,0,0,0.961683,70.2641
159,50,0.01,0.2,50,500,1000,10,2,0.3,0,10,1,0,1.11862,70.3142
160,50,0.01,0.2,50,500,1000,10,2,0.3,0,10,0,0,1.38189,65.7562
161,50,0.01,0.2,50,500,1000,10,2,0.3,0.3,1,1,0,3.27335,92.9668
