iteration,variation,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,mse,timeMs
81,3,100,0.0001,0.2,10,1,100,3,1,0.01,0,1,1,1.81701,1.12853
82,3,100,0.0001,0.2,10,1,100,3,1,0.01,0,1,0,0.000164871,1.05522
83,3,100,0.0001,0.2,10,1,100,3,1,0.01,0,2,1,0.000392292,1.07298
84,3,100,0.0001,0.2,10,1,100,3,1,0.01,0,2,0,0.000224479,1.09744
85,3,100,0.0001,0.2,10,1,100,3,1,0.01,0.1,1,1,0.154932,0.893233
86,3,100,0.0001,0.2,10,1,100,3,1,0.01,0.1,1,0,348.555,1.02158
87,3,100,0.0001,0.2,10,1,100,3,1,0.01,0.1,2,1,5.40531,1.33709
88,3,100,0.0001,0.2,10,1,100,3,1,0.01,0.1,2,0,1.26684,1.45653
89,3,100,0.0001,0.2,10,1,100,3,1,0.1,0,1,1,0.0366483,11.6384
90,3,100,0.0001,0.2,10,1,100,3,1,0.1,0,1,0,0.0154556,14.5329
91,3,100,0.0001,0.2,10,1,100,3,1,0.1,0,2,1,0.0359812,12.8447
92,3,100,0.0001,0.2,10,1,100,3,1,0.1,0,2,0,0.0243722,11.7569
93,3,100,0.0001,0.2,10,1,100,3,1,0.1,0.1,1,1,0.140088,11.4975
94,3,100,0.0001,0.2,10,1,100,3,1,0.1,0.1,1,0,0.104151,10.1378
95,3,100,0.0001,0.2,10,1,100,3,1,0.1,0.1,2,1,1.09787,12.3797
96,3,100,0.0001,0.2,10,1,100,3,1,0.1,0.1,2,0,0.663929,10.09
97,1,100,0.0001,0.2,10,1,100,3,2,0.01,0,1,1,0.0152522,0.165892
97,2,100,0.0001,0.2,10,1,100,3,2,0.01,0,1,1,0.0211379,0.170993
97,3,100,0.0001,0.2,10,1,100,3,2,0.01,0,1,1,0.508555,1.21573
98,1,100,0.0001,0.2,10,1,100,3,2,0.01,0,1,0,0.00187307,0.224836
98,2,100,0.0001,0.2,10,1,100,3,2,0.01,0,1,0,0.00046904,0.217126
98,3,100,0.0001,0.2,10,1,100,3,2,0.01,0,1,0,0.00506514,1.3223
99,1,100,0.0001,0.2,10,1,100,3,2,0.01,0,2,1,0.0111092,0.250192
99,2,100,0.0001,0.2,10,1,100,3,2,0.01,0,2,1,0.0047174,0.222531
99,3,100,0.0001,0.2,10,1,100,3,2,0.01,0,2,1,0.000136514,1.29728
100,1,100,0.0001,0.2,10,1,100,3,2,0.01,0,2,0,0.00682627,0.190288
100,2,100,0.0001,0.2,10,1,100,3,2,0.01,0,2,0,0.0104736,0.201303
100,3,100,0.0001,0.2,10,1,100,3,2,0.01,0,2,0,0.000839768,1.40593
101,1,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,1,1,0.188076,0.33667
101,2,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,1,1,0.19625,0.355308
101,3,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,1,1,0.194295,1.63483
102,1,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,1,0,0.182709,0.301269
102,2,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,1,0,0.280424,0.310607
102,3,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,1,0,0.204434,2.36589
103,1,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,2,1,0.939445,0.18094
103,2,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,2,1,0.912457,0.173976
103,3,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,2,1,0.982729,1.12108
104,1,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,2,0,0.68516,0.164372
104,2,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,2,0,0.716441,0.176261
104,3,100,0.0001,0.2,10,1,100,3,2,0.01,0.1,2,0,0.65853,1.09323
105,1,100,0.0001,0.2,10,1,100,3,2,0.1,0,1,1,0.0355157,0.144636
105,2,100,0.0001,0.2,10,1,100,3,2,0.1,0,1,1,0.0317429,0.127225
105,3,100,0.0001,0.2,10,1,100,3,2,0.1,0,1,1,0.0403148,0.876596
106,1,100,0.0001,0.2,10,1,100,3,2,0.1,0,1,0,0.0366325,0.13108
106,2,100,0.0001,0.2,10,1,100,3,2,0.1,0,1,0,0.0915141,0.137123
106,3,100,0.0001,0.2,10,1,100,3,2,0.1,0,1,0,0.0660268,0.918628
107,1,100,0.0001,0.2,10,1,100,3,2,0.1,0,2,1,0.0315647,0.123674
107,2,100,0.0001,0.2,10,1,100,3,2,0.1,0,2,1,0.0383259,0.122781
107,3,100,0.0001,0.2,10,1,100,3,2,0.1,0,2,1,0.032715,0.877911
108,1,100,0.0001,0.2,10,1,100,3,2,0.1,0,2,0,3.00268,1.59106
108,2,100,0.0001,0.2,10,1,100,3,2,0.1,0,2,0,0.789409,1.58777
108,3,100,0.0001,0.2,10,1,100,3,2,0.1,0,2,0,1.17918,0.958994
109,1,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,1,1,2.69501,1.4455
109,2,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,1,1,3.79433,1.95966
109,3,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,1,1,6.79574,0.936952
110,1,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,1,0,0.251547,0.127264
110,2,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,1,0,0.243766,0.248918
110,3,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,1,0,0.256172,0.952019
111,1,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,2,1,6.0995,1.65623
111,2,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,2,1,12.3239,1.62092
111,3,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,2,1,38.5301,0.908917
112,1,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,2,0,0.372893,0.125087
112,2,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,2,0,0.407969,0.12545
112,3,100,0.0001,0.2,10,1,100,3,2,0.1,0.1,2,0,0.369878,0.90672
113,3,100,0.0001,0.2,10,1,100,4,1,0.01,0,1,1,0.00289057,0.71143
114,3,100,0.0001,0.2,10,1,100,4,1,0.01,0,1,0,0.000137414,0.715844
115,3,100,0.0001,0.2,10,1,100,4,1,0.01,0,2,1,0.00055782,0.787764
116,3,100,0.0001,0.2,10,1,100,4,1,0.01,0,2,0,0.000213314,0.639724
117,3,100,0.0001,0.2,10,1,100,4,1,0.01,0.1,1,1,0.152857,0.704906
118,3,100,0.0001,0.2,10,1,100,4,1,0.01,0.1,1,0,143.904,0.648719
119,3,100,0.0001,0.2,10,1,100,4,1,0.01,0.1,2,1,1.25093,0.629514
120,3,100,0.0001,0.2,10,1,100,4,1,0.01,0.1,2,0,49.6963,0.672173
121,3,100,0.0001,0.2,10,1,100,4,1,0.1,0,1,1,0.368583,12.062
122,3,100,0.0001,0.2,10,1,100,4,1,0.1,0,1,0,0.0989206,13.2656
123,3,100,0.0001,0.2,10,1,100,4,1,0.1,0,2,1,0.128443,12.3416
