iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
34,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,3,0,-0.380419,0.0972069,1.18318,1.05229,2.40992
35,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,1,0,-8.65205,-0.183179,2.84266,1.20045,8.591
35,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,2,0,-28.0065,0.0547827,8.5428,0.959018,6.92424
35,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,0,3,0,-0.084095,0.685693,0.31928,0.318896,2.36443
36,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,1,0,-48.7182,0.906589,46.6433,0.0958452,7.29716
36,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,2,0,-1.29024e+06,0.904314,1.21045e+06,0.0981788,6.09984
36,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,0,1,3,0,0.00306583,0.0905254,0.935279,0.933172,1.21384
37,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,1,0,1,1,4.91568e-32,-2.88275e-16,14.1779
37,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,2,0,1,1,1.15914e-30,-2.74725e-16,13.4791
37,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,0,3,0,1,1,1.96023e-19,2.42488e-16,1.14737
38,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,1,0,1,1,1.63896e-29,-8.09908e-16,13.0213
38,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,2,0,1,1,2.0079e-31,-1.18201e-16,13.7201
38,100,0.1,0.2,100,1,500,4,1,0,0,2.5,1,1,3,0,1,1,2.58131e-17,-3.53754e-16,1.12956
39,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,1,0,1,1,3.48331e-32,-3.91909e-16,13.1284
39,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,2,0,1,1,1.30686e-31,-2.4003e-16,11.3263
39,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,0,3,0,1,1,2.0517e-19,-5.45675e-16,1.15092
40,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,1,0,1,1,4.32515e-31,-1.44884e-16,13.2526
40,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,2,0,1,1,6.57996e-32,4.71394e-17,12.8183
40,100,0.1,0.2,100,1,500,4,1,0,0,2.5,0,1,3,0,1,1,2.64914e-19,3.37484e-16,1.17306
41,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,0,1,0,1,1,1.925e-30,6.51372e-16,8.21024
41,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,0,2,0,1,1,3.70417e-30,-7.65623e-16,8.21543
41,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,0,3,0,0.373158,0.958209,0.0448783,0.0347761,4.63331
42,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,1,1,0,1,1,1.78302e-33,-7.07164e-16,11.955
42,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,1,2,0,1,1,4.81125e-32,-1.71521e-16,6.50103
42,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,1,1,3,0,0.212364,0.929407,0.0835197,0.064039,3.29383
43,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,0,1,0,1,1,7.62978e-31,-2.77097e-16,8.29553
43,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,0,2,0,1,1,5.40553e-32,-3.14831e-16,6.81426
43,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,0,3,0,0.697064,0.935276,0.0739702,0.0672581,2.22261
44,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,1,1,0,1,1,3.64344e-31,-1.45069e-16,6.4452
44,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,1,2,0,1,1,2.26978e-31,-1.30601e-16,5.85257
44,100,0.1,0.2,100,1,500,4,1,0,0.3,2.5,0,1,3,0,0.365444,0.588511,0.40566,0.364129,2.20596
45,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,0,1,0,1,1,1.34425e-31,-1.33826e-16,6.34703
45,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,0,2,0,1,1,7.02087e-31,-6.05786e-17,4.40066
45,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,0,3,0,-3.75921,0.38012,0.893399,0.687427,2.3455
46,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,1,1,0,1,1,3.31638e-30,-1.82796e-16,6.1977
46,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,1,2,0,1,1,6.61903e-28,-1.37694e-16,4.62586
46,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,1,1,3,0,-3.58459,0.911748,0.0998382,0.0788795,9.36097
47,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,0,1,0,1,1,2.05297e-28,-9.57012e-17,8.3968
47,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,0,2,0,1,1,1.39517e-31,3.30846e-16,8.25308
47,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,0,3,0,0.523044,0.99796,0.00246626,0.00241913,1.97801
48,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,1,1,0,1,1,9.61061e-29,-4.20331e-16,7.4988
48,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,1,2,0,1,1,1.23748e-29,1.74072e-16,6.27213
48,100,0.1,0.2,100,1,500,4,1,0,0.5,2.5,0,1,3,0,0.0813941,0.902954,0.0925366,0.0891182,2.66594
49,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,1,0,1,0,0.839866,0.988733,0.0149034,0.0126527,10.2593
49,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,1,0,2,0,-1.33158,0.992029,0.216996,0.00895146,9.39887
49,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,1,0,3,0,0.881547,0.990965,0.0110242,0.0101463,1.15992
50,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,1,1,1,0,-5.35894,0.989946,0.93415,0.0111503,9.99102
50,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,1,1,2,0,0.831802,0.991845,0.0247088,0.00904372,9.48275
50,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,1,1,3,0,0.927802,0.991671,0.0106062,0.00923723,1.01569
51,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,0,0,1,0,-0.0896886,0.99011,0.272817,0.0103768,9.96256
51,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,0,0,2,0,0.953313,0.991651,0.0116888,0.00876024,9.93666
51,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,0,0,3,0,0.955377,0.991869,0.011172,0.00853136,1.0637
52,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,0,1,1,0,0.416862,0.990333,0.280713,0.00896369,9.98785
52,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,0,1,2,0,0.734038,0.988995,0.128029,0.0102046,8.46491
52,100,0.1,0.2,100,1,500,4,1,0.1,0,2.5,0,1,3,0,0.956743,0.989229,0.0208231,0.00998783,1.17431
53,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,1,0,1,0,-0.0860524,0.985288,0.313137,0.0135102,7.62476
53,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,1,0,2,0,-1.1227,0.986979,0.612029,0.0119576,6.10724
53,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,1,0,3,0,-0.0364733,0.686828,0.298842,0.287589,6.18245
54,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,1,1,1,0,0.762371,0.98649,0.0659555,0.0149371,7.50126
54,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,1,1,2,0,0.870408,0.985303,0.0359689,0.0162494,6.84921
54,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,1,1,3,0,0.261195,0.823758,0.20506,0.194861,2.71917
55,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,0,0,1,0,-1.87251,0.986831,0.594127,0.0129526,6.20207
55,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,0,0,2,0,-88.3321,0.987219,18.4768,0.0125706,7.50528
55,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,0,0,3,0,0.76257,0.954693,0.0491082,0.0445611,2.16682
56,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,0,1,1,0,0.910367,0.987527,0.0202477,0.0124892,6.33677
56,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,0,1,2,0,0.143569,0.985805,0.193463,0.0142137,7.13266
56,100,0.1,0.2,100,1,500,4,1,0.1,0.3,2.5,0,1,3,0,0.681299,0.936081,0.0719928,0.064002,2.56735
57,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,1,0,1,0,-12.2852,0.989352,0.433051,0.0112606,5.91257
57,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,1,0,2,0,0.701129,0.991409,0.00974216,0.00908575,6.21827
57,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,1,0,3,0,-0.00575179,0.978255,0.0327841,0.0229965,8.60158
58,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,1,1,1,0,0.901371,0.987377,0.0695982,0.0143643,7.48404
58,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,1,1,2,0,0.847192,0.991922,0.10783,0.00919231,8.27265
58,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,1,1,3,0,-0.679115,0.100797,1.18488,1.02323,2.69452
59,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,0,0,1,0,-0.328036,0.991897,0.435142,0.00943299,8.15086
59,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,0,0,2,0,-194.11,0.99006,63.9294,0.0115723,7.39632
59,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,0,0,3,0,0.236005,0.792384,0.250329,0.241704,3.18521
60,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,0,1,1,0,0.149884,0.987795,0.660621,0.0132336,6.26772
60,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,0,1,2,0,-0.316201,0.98077,1.02281,0.0208506,5.32819
60,100,0.1,0.2,100,1,500,4,1,0.1,0.5,2.5,0,1,3,0,-0.0685347,0.237066,0.830352,0.827233,1.29814
61,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,1,0,1,0,0.632455,0.926751,0.191007,0.0957494,13.6493
61,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,1,0,2,0,-7.4647,0.911969,4.39897,0.115072,10.5495
61,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,1,0,3,0,0.719495,0.931195,0.145774,0.0899402,1.33527
62,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,1,1,1,0,-1.04569,0.875463,0.244923,0.156117,9.23431
62,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,1,1,2,0,-159.002,0.920863,19.1564,0.0992049,4.08178
62,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,1,1,3,0,0.207246,0.926398,0.0949135,0.0922666,1.021
63,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,0,0,1,0,-1.26125,0.916465,0.959514,0.1055,9.64644
63,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,0,0,2,0,-0.511567,0.92487,0.641402,0.094886,4.2312
63,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,0,0,3,0,0.713521,0.934238,0.121561,0.083054,1.12929
64,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,0,1,1,0,-23.1752,0.924998,4.22758,0.10184,6.98501
64,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,0,1,2,0,-31.5905,0.923645,5.6992,0.103677,10.8291
64,100,0.1,0.2,100,1,500,4,1,0.3,0,2.5,0,1,3,0,0.41289,0.929732,0.10267,0.0954124,1.34402
65,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,1,0,1,0,0.408493,0.903435,0.127447,0.117837,15.618
65,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,1,0,2,0,-9.78356,0.902857,2.32345,0.118542,18.6417
65,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,1,0,3,0,0.0721378,0.875548,0.199919,0.151867,2.52525
66,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,1,1,1,0,-0.226145,0.922095,0.112986,0.10598,18.2902
66,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,1,1,2,0,-16.5373,0.909458,1.61602,0.12317,16.1326
66,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,1,1,3,0,-0.46608,0.925911,0.135096,0.100788,4.22638
67,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,0,0,1,0,-0.0043792,0.9374,0.080332,0.0803004,23.2052
67,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,0,0,2,0,-11162.1,0.904948,892.846,0.121928,14.4238
67,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,0,0,3,0,-0.0286568,0.936303,0.0822738,0.0817074,1.53847
68,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,0,1,1,0,-3801.55,0.903898,1984.01,0.116751,11.3713
68,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,0,1,2,0,-0.0624902,0.924558,0.554362,0.0916522,15.2008
68,100,0.1,0.2,100,1,500,4,1,0.3,0.3,2.5,0,1,3,0,0.417982,0.775617,0.303672,0.272595,1.81074
